,Photographer,Country,Story
996,Brent Stirton,South Africa,"Brent Stirton is a special correspondent for Getty Images, and a regular contributor to National Geographic magazine as well as other international titles. "
997,Bruce Davidson,USA,
998,George Georgiou,United Kingdom,
999,Lars Krabbe,Denmark,
1000,Kristen Ashburn,USA,
1001,Pablo Martinez Monsivais,USA,
1002,Sarah Leen,USA,"Sarah Leen was appointed director of photography at National Geographic magazine in May 2013. She is the first female DOP in the National Geographic Society’s 125-year history. For 20 years prior she worked as a freelance photographer for National Geographic magazine and in 2004 joined the magazine's staff as a senior photo editor.Leen graduated in 1974 with a Bachelor of Arts from the University of Missouri, Columbia. She continued with graduate studies at the University of Missouri School of Journalism. Leen was the College Photographer of the Year in 1979 and worked as a staff newspaper photographer at the Topeka Capital Journal and then the Philadelphia Inquirer until 1982 when she began her freelance photography career.Her photography assignments for National Geographic took her to Lake Baikal in Siberia, the Kamchatka peninsula in Russia’s Far East, the ancient city of Djenne, Mali in West Africa, the Republic of Macedonia, and the Mexican volcano Popocatepetl.Leen has won numerous awards for her photography at the Pictures of the Year (POYi) and in 2002 she won second place in the science and technology category of the World Press Photo Contest. In 2007 and 2008 she won first place Magazine Picture Editing Portfolio from POYi and second place in 2011.Leen has taught photography and editing workshops at the Missouri Photo Workshops, the International Center for Photography in New York, the Maine Photographic Workshops and the Palm Beach Centre for Photography.In 2013, Leen was the curator of the exhibit 'The Power of Photography: National Geographic 125 Years' at the Annenberg Space for Photography in Los Angeles, California."
1003,Alexander Nicholson,Canada,
1004,Jerry Lampen,The Netherlands,
1005,Moises Saman,Spain,"Moises Saman was born in 1974 in Lima, Peru, but spent most of his youth in Barcelona, Spain, after his family moved there. Moises studied communications and sociology in the United Sates at California State University, graduating in 1998. It was during his last year in university that Moises first became interested in becoming a photographer, influenced by the work of a number of photojournalists that had been covering the wars in the Balkans.Moises interned at several small newspapers in California, and after graduating from university he moved to New York City to complete a summer internship at New York Newsday newspaper. That fall, upon completion of the internship, Moises spent a month traveling in Kosovo photographing the immediate aftermath of the last Balkan war.In 2000, Moises joined Newsday as a staff photographer, a position he held until 2007. During his seven years at Newsday, Moises’ work focused on covering the fallout of the 9"
1006,Stefan Zaklin,USA,
1007,Gérard Julien,France,
1008,Jon Lowenstein,USA,
1009,Paul Nicklen,Canada,"As a young boy, Paul Nicklen, a Canadian-born polar specialist and marine biologist, moved to Baffin Island and spent his childhood among the Inuit people. From them he learned the love of nature, the understanding of icy ecosystems, and the survival skills that have helped him to become one of the most successful wildlife and nature photojournalists.As an assignment photographer for National Geographic magazine, Nicklen has produced 16 stories covering a variety of issues related to conservation and natural history—from the slaughter of narwhals to salmon farming to the importance of sea ice and polar ecosystems in this new climate era. Despite the personal peril he often faces while working in some of the planet’s most remote and harsh environments, Nicklen travels constantly in search of meaningful stories that can help touch people’s emotions and help the public connect with Earth’s marine and polar realms. Nicklen has received more than 20 international awards, six of which were from World Press Photo, including the first prize for nature stories in 2010; three with Pictures of the Year International; and ten with BBC Wildlife Photographer of the Year including the grand prize awarded to him in 2012. In 2012, the National Resources Defense Council awarded him the first Biogems Visionary Award, and he also received the Alumni Lifetime Achievement Award from his alma mater, the University of Victoria."
1010,Dario Mitidieri,Italy,
1011,Jorge López Viera,Cuba,
1012,Tippi Thole,USA,
1013,Walter Schels,Germany,
1014,Lu Guang,China,"Lu Guang was born in 1961, in Zhejiang Province, China. He has been passionate about photography since he held a camera for the first time, in 1980 when he was a factory worker in his hometown in Yongkang County. Between 1993 and 1995, he took classes at the Fine Arts Academy of Tsinghua University (formerly the Central Academy of Crafts and Fine Arts) in Beijing.A freelance photographer since 1993, Lu Guang has developed major documentary projects in China, all at his own initiative, focusing on some of the most significant social, health, and environmental issues facing his country today. His photographic work includes stories on gold diggers, local coal miners, the SARS epidemic, drug addiction along the Sino-Burmese border, Aids villages in Henan Province, the environmental impact of the Qinghai-Tibet railway, industrial pollution and the medical effects of schistosomiasis (bilharzia).His work on the Aids villages won First Prize in the Contemporary Issues category in the 2004 World Press Photo contest. His picture story on drug addicts in southern Yunnan was exhibited at Visa pour l'Image that same year. In 2005, he became the first photographer from China to be invited by the US Department of State as a visiting scholar. In 2008, Lu Guang won the Henri Nannan Prize in Photography in Germany; in 2009 he was a recipient of the W. Eugene Smith Memorial Fund, and in 2010 he won a National Geographic Photography Grant."
1015,Felicia Webb,United Kingdom,
1016,Jacob Ehrbahn,Denmark,"Jacob Ehrbahn is a Danish photojournalist who has been a staff photographer with the Danish daily national newspaper Politiken since 2003.He has received numerous awards for his work, including being named second and third place Newspaper Photographer of the Year by POYi in 2004 and 2012.This year, he was named Photographer of the Year in Denmark for the second time.Jacob lives in Espergaerde outside of Copenhagen."
1017,Stephanie Sinclair,USA,"After university, Sinclair worked for the Chicago Tribune, which sent her to cover the lead up to the war in Iraq. She later moved to the Middle East covering the region for six years as a freelance photographer.A regular contributor to National Geographic and The New York Times Magazine, Sinclair is the recipient of numerous awards including the CARE International Award for Humanitarian Reportage, the Overseas Press Club’s Olivier Rebbot Award, a Pulitzer Prize, two Visa D’Ors, and three World Press Photo awards. In 2010, Sinclair’s photographs of self-immolation in Afghanistan were exhibited as part of the Whitney Biennial in New York. She is based in Brooklyn, New York."
1018,Raúl Belinchón,Spain,
1019,Stephan Zaubitzer,France,
1020,Horst Wackerbarth,Germany,
1021,Jean-Marc Bouju,France,
1022,Sergey Maximishin,Russia,
1023, Qiu Yan,China,
1024,Tanya Lake,Australia,
1025,Kuninori Takahashi,Japan,
1026,Atta Kenare,Iran,
1027,Ahmed Jadallah,Palestinian Territories,
1028,Jan Sibik,Czech Republic,
1029,Jakob Carlsen,Denmark,
1030, Henry Agudelo & Jaime Pérez Munévar,Colombia,
1031,Alexander Hassenstein,Germany,
1032,Al Bello,USA,"Al Bello graduated with a liberal arts degree from the University of New York at Stony Brook in 1989. In March of 1990, he worked as darkroom manager for The Ring boxing magazine and soon found his way photographing boxing on a weekend basis, while processing and printing film during the week. In 1993, he landed a position as a junior photographer at Allsport, now part of Getty Images."
1033,Nick Danziger,United Kingdom,
1034,Jan Banning,The Netherlands,
1035,Charles Ommanney,USA,"His primary interests are social issues and the effects of public policy at local and international levels. Ommanney works extensively in the United States covering politics, education, race, immigration and poverty among others.His work has appeared across the globe and his images have graced the covers of magazines such as Newsweek, Time, Vanity Fair, Stern, Paris Match and Rolling Stone. Ommanney’s stories have been acknowledged by the World Press Foundation, POYi, NPPA, Communication Arts, WHNPA, Prix de la Photographie Paris, The Alfred Eisenstaedt Life magazine award and PDN Annuals."
